"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2020";"0000";"28,4";"29,1";"28,4";"67,0";"67,0";"65,0";"21,6";"21,8";"21,6";"1008,0";"1008,0";"1007,5";"1,0";"86,0";"4,2";"";"0,0"
"01/01/2020";"0100";"27,8";"28,5";"27,8";"68,0";"69,0";"67,0";"21,4";"21,9";"21,4";"1008,7";"1008,7";"1008,0";"0,9";"126,0";"2,4";"";"0,0"
"01/01/2020";"0200";"27,5";"27,8";"27,2";"68,0";"71,0";"68,0";"21,1";"21,5";"21,0";"1008,8";"1009,0";"1008,7";"0,8";"105,0";"2,6";"";"0,0"
"01/01/2020";"0300";"27,2";"27,5";"26,9";"67,0";"72,0";"67,0";"20,6";"21,4";"20,6";"1008,6";"1008,9";"1008,6";"0,9";"107,0";"2,3";"";"0,0"
"01/01/2020";"0400";"26,2";"27,3";"26,1";"73,0";"74,0";"67,0";"20,9";"21,1";"20,5";"1008,2";"1008,6";"1008,2";"0,3";"200,0";"2,5";"";"0,0"
"01/01/2020";"0500";"25,8";"26,6";"25,7";"74,0";"75,0";"70,0";"20,8";"21,0";"20,6";"1007,6";"1008,2";"1007,6";"0,4";"205,0";"2,0";"";"0,0"
"01/01/2020";"0600";"25,2";"25,8";"25,1";"76,0";"76,0";"73,0";"20,6";"20,9";"20,5";"1007,3";"1007,6";"1007,3";"0,2";"115,0";"1,6";"";"0,0"
"01/01/2020";"0700";"24,9";"25,4";"24,8";"78,0";"78,0";"75,0";"20,8";"20,8";"20,5";"1007,4";"1007,4";"1007,2";"0,3";"193,0";"2,2";"";"0,0"
"01/01/2020";"0800";"24,9";"25,3";"24,7";"77,0";"79,0";"75,0";"20,6";"20,9";"20,5";"1007,6";"1007,6";"1007,4";"0,4";"73,0";"2,4";"";"0,0"
"01/01/2020";"0900";"25,3";"25,3";"24,5";"76,0";"80,0";"76,0";"20,7";"20,8";"20,5";"1008,2";"1008,2";"1007,6";"0,3";"344,0";"1,5";"102,70";"0,0"
"01/01/2020";"1000";"27,6";"27,6";"25,3";"66,0";"76,0";"65,0";"20,7";"21,0";"20,3";"1008,1";"1008,3";"1008,1";"0,4";"116,0";"1,4";"587,60";"0,0"
"01/01/2020";"1100";"30,3";"30,3";"27,4";"55,0";"66,0";"55,0";"20,3";"20,9";"20,0";"1008,0";"1008,2";"1008,0";"0,8";"62,0";"2,0";"1487,30";"0,0"
"01/01/2020";"1200";"31,5";"31,5";"30,0";"55,0";"57,0";"52,0";"21,4";"21,4";"19,7";"1007,6";"1008,0";"1007,6";"1,2";"317,0";"2,5";"2393,90";"0,0"
"01/01/2020";"1300";"32,6";"32,6";"30,9";"55,0";"60,0";"53,0";"22,5";"22,9";"21,4";"1007,3";"1007,6";"1007,3";"1,5";"301,0";"3,4";"3094,80";"0,0"
"01/01/2020";"1400";"34,6";"35,3";"32,6";"40,0";"56,0";"39,0";"18,9";"22,5";"18,7";"1006,9";"1007,3";"1006,9";"1,1";"304,0";"3,4";"3520,30";"0,0"
"01/01/2020";"1500";"34,9";"35,6";"34,3";"40,0";"43,0";"37,0";"19,4";"20,2";"18,3";"1006,5";"1006,9";"1006,5";"1,5";"286,0";"3,2";"3705,60";"0,0"
"01/01/2020";"1600";"36,4";"36,4";"34,9";"37,0";"43,0";"35,0";"19,5";"21,0";"18,5";"1005,6";"1006,5";"1005,6";"1,2";"331,0";"4,1";"3707,70";"0,0"
"01/01/2020";"1700";"37,3";"37,8";"35,8";"35,0";"37,0";"34,0";"19,4";"19,8";"18,2";"1004,7";"1005,6";"1004,7";"1,3";"345,0";"4,1";"3485,50";"0,0"
"01/01/2020";"1800";"37,6";"37,9";"36,7";"38,0";"39,0";"34,0";"21,1";"21,3";"18,8";"1003,6";"1004,7";"1003,6";"2,9";"223,0";"5,9";"3042,50";"0,0"
"01/01/2020";"1900";"35,8";"37,8";"35,8";"41,0";"41,0";"38,0";"20,6";"21,3";"20,3";"1003,2";"1003,6";"1003,2";"2,3";"131,0";"6,5";"2119,10";"0,0"
"01/01/2020";"2000";"35,3";"36,6";"35,3";"44,0";"44,0";"39,0";"21,2";"21,5";"19,8";"1003,3";"1003,3";"1002,7";"2,0";"78,0";"6,2";"1355,50";"0,0"
"01/01/2020";"2100";"31,6";"36,0";"31,6";"58,0";"58,0";"41,0";"22,2";"22,2";"20,7";"1003,5";"1003,6";"1003,1";"1,6";"343,0";"7,2";"472,60";"0,0"
"01/01/2020";"2200";"30,6";"31,6";"30,5";"57,0";"62,0";"55,0";"21,1";"22,8";"20,8";"1004,1";"1004,1";"1003,4";"0,9";"347,0";"5,8";"50,70";"0,0"
"01/01/2020";"2300";"30,3";"30,6";"30,3";"54,0";"61,0";"54,0";"20,1";"22,1";"19,9";"1005,1";"1005,1";"1004,1";"0,6";"322,0";"2,2";"";"0,0"
"02/01/2020";"0000";"29,6";"30,5";"29,6";"58,0";"59,0";"54,0";"20,6";"20,9";"20,0";"1005,6";"1005,6";"1005,1";"0,7";"351,0";"2,2";"";"0,0"
"02/01/2020";"0100";"29,6";"30,1";"29,4";"66,0";"66,0";"58,0";"22,6";"22,6";"20,4";"1006,2";"1006,3";"1005,5";"1,4";"14,0";"3,2";"";"0,0"
"02/01/2020";"0200";"28,6";"29,6";"28,6";"73,0";"73,0";"66,0";"23,2";"23,4";"22,6";"1006,4";"1006,7";"1006,2";"1,2";"358,0";"3,2";"";"0,0"
"02/01/2020";"0300";"28,4";"28,7";"28,3";"69,0";"73,0";"68,0";"22,2";"23,3";"22,2";"1005,6";"1006,4";"1005,6";"1,0";"65,0";"2,8";"";"0,0"
"02/01/2020";"0400";"27,5";"28,4";"27,5";"73,0";"73,0";"69,0";"22,2";"22,4";"22,1";"1005,1";"1005,6";"1005,0";"0,6";"68,0";"2,4";"";"0,0"
"02/01/2020";"0500";"27,4";"27,9";"27,4";"73,0";"74,0";"71,0";"22,2";"22,2";"22,1";"1004,8";"1005,1";"1004,8";"1,1";"32,0";"3,4";"";"0,0"
"02/01/2020";"0600";"26,9";"27,6";"26,9";"78,0";"78,0";"72,0";"22,7";"22,7";"22,1";"1004,2";"1004,8";"1004,2";"0,9";"336,0";"2,2";"";"0,0"
"02/01/2020";"0700";"26,9";"27,0";"26,7";"77,0";"79,0";"77,0";"22,4";"22,8";"22,4";"1004,4";"1004,4";"1004,0";"0,6";"343,0";"2,1";"";"0,0"
"02/01/2020";"0800";"27,1";"27,1";"26,8";"75,0";"78,0";"75,0";"22,2";"22,6";"22,2";"1004,8";"1004,9";"1004,4";"0,9";"110,0";"2,3";"";"0,0"
"02/01/2020";"0900";"27,3";"27,3";"26,8";"75,0";"77,0";"74,0";"22,5";"22,6";"22,2";"1005,5";"1005,5";"1004,8";"0,7";"91,0";"2,0";"58,90";"0,0"
"02/01/2020";"1000";"30,0";"30,0";"27,3";"61,0";"76,0";"61,0";"21,7";"22,9";"21,5";"1005,9";"1005,9";"1005,5";"1,1";"265,0";"2,6";"566,30";"0,0"
"02/01/2020";"1100";"31,1";"31,8";"30,0";"59,0";"61,0";"55,0";"22,1";"22,1";"21,2";"1006,2";"1006,2";"1005,9";"1,0";"335,0";"2,8";"1355,20";"0,0"
"02/01/2020";"1200";"30,3";"31,1";"30,2";"64,0";"67,0";"58,0";"22,8";"23,5";"21,7";"1006,5";"1006,5";"1006,2";"0,7";"315,0";"2,8";"1008,90";"0,0"
"02/01/2020";"1300";"31,3";"31,5";"30,3";"56,0";"65,0";"56,0";"21,6";"23,8";"21,6";"1006,7";"1006,7";"1006,5";"1,4";"237,0";"3,4";"1099,50";"0,0"
"02/01/2020";"1400";"31,3";"31,8";"31,0";"57,0";"58,0";"55,0";"21,8";"21,9";"21,5";"1006,7";"1006,8";"1006,6";"2,1";"229,0";"4,2";"1385,50";"0,0"
"02/01/2020";"1500";"31,9";"33,6";"31,3";"54,0";"58,0";"49,0";"21,3";"22,3";"21,0";"1006,7";"1006,7";"1006,5";"2,1";"233,0";"5,8";"2229,10";"0,0"
"02/01/2020";"1600";"30,9";"32,4";"30,6";"57,0";"59,0";"52,0";"21,5";"21,7";"21,0";"1006,5";"1006,7";"1006,4";"1,9";"165,0";"5,6";"1220,30";"0,0"
